img,caption,audio,audio_class
/kaggle/input/2017-2017/train2017/train2017/000000016977.jpg,A car that seems to be parked illegally behind a legally parked car,/kaggle/input/wavoutput/mynah_bird_singing/vDhmDr6WAhtg_58_68_out.wav,mynah_bird_singing
/kaggle/input/2017-2017/train2017/train2017/000000016977.jpg,A car that seems to be parked illegally behind a legally parked car,/kaggle/input/wavoutput/skateboarding/vJmn5vIHJJ5Q_0_10_out.wav,skateboarding
/kaggle/input/2017-2017/train2017/train2017/000000106140.jpg,A large passenger airplane flying through the air.,/kaggle/input/wavoutput/airplane_flyby/vK1USuyB0c-M_101_111_out.wav,airplane_flyby
/kaggle/input/2017-2017/train2017/train2017/000000106140.jpg,There is a GOL plane taking off in a partly cloudy sky.,/kaggle/input/wavoutput/airplane_flyby/vK1USuyB0c-M_101_111_out.wav,airplane_flyby
/kaggle/input/2017-2017/train2017/train2017/000000106140.jpg,There is a GOL plane taking off in a partly cloudy sky.,/kaggle/input/wavoutput/helicopter/vPGB_PyO2w0k_270_280_out.wav,helicopter
/kaggle/input/2017-2017/train2017/train2017/000000322141.jpg,Blue and white color scheme in a small bathroom.,/kaggle/input/wavoutput/toilet_flushing/vhfJLH2-7_Ls_0_10_out.wav,toilet_flushing
/kaggle/input/2017-2017/train2017/train2017/000000322141.jpg,This is a blue and white bathroom with a wall sink and a lifesaver on the wall.,/kaggle/input/wavoutput/toilet_flushing/vM7Xdwghu5Dc_10_20_out.wav,toilet_flushing
/kaggle/input/2017-2017/train2017/train2017/000000322141.jpg,A blue boat themed bathroom with a life preserver on the wall,/kaggle/input/wavoutput/toilet_flushing/vM7Xdwghu5Dc_10_20_out.wav,toilet_flushing
/kaggle/input/2017-2017/train2017/train2017/000000016977.jpg,two cars parked on the sidewalk on the street,/kaggle/input/wavoutput/car_engine_knocking/v7raBooHPgTM_19_29_out.wav,car_engine_knocking
/kaggle/input/2017-2017/train2017/train2017/000000016977.jpg,two cars parked on the sidewalk on the street,/kaggle/input/wavoutput/driving_buses/vWP3KsGOMMgU_50_60_out.wav,driving_buses
/kaggle/input/2017-2017/train2017/train2017/000000016977.jpg,two cars parked on the sidewalk on the street,/kaggle/input/wavoutput/mynah_bird_singing/vDhmDr6WAhtg_58_68_out.wav,mynah_bird_singing
/kaggle/input/2017-2017/train2017/train2017/000000016977.jpg,two cars parked on the sidewalk on the street,/kaggle/input/wavoutput/playing_accordion/vQFh37Uo-VGE_30_40_out.wav,playing_accordion
